NodeName;VariableName;Value;Type;DefaultValue
1 Command;;;;
DefaultShotCameraShake;duration;0.1;float;(0.1)
DefaultShotCameraShake;amplitude;(0.2,0.2);vector2;((0.2,0.2))
DefaultShotCameraShake;frequency;20;float;(30)
DefaultShotCameraShake;priority;1;float;(1)
OverlockShotCameraShake;duration;0.1;float;(0.1)
OverlockShotCameraShake;amplitude;(0.3,0.3);vector2;((0.6,0.6))
OverlockShotCameraShake;frequency;40;float;(50)
OverlockShotCameraShake;priority;2;float;(2)
StunCameraShake;duration;0.5;float;(0.5)
StunCameraShake;amplitude;(0.8,0);vector2;((1,0))
StunCameraShake;frequency;60;float;(80)
StunCameraShake;priority;10;float;(10)
SmallExplosionCameraShake;duration;0.3;float;(0.5)
SmallExplosionCameraShake;amplitude;(0.45,0.45);vector2;((0.4,0.4))
SmallExplosionCameraShake;frequency;35;float;(35)
SmallExplosionCameraShake;priority;2;float;(2)
BiglExplosionCameraShake;duration;6;float;(0.75)
BiglExplosionCameraShake;amplitude;(0.9,0.9);vector2;((0.6,0.6))
BiglExplosionCameraShake;frequency;35;float;(35)
BiglExplosionCameraShake;priority;3;float;(3)
TowerStunCameraShake;duration;1;float;(1)
TowerStunCameraShake;amplitude;(1,1);vector2;((1,1))
TowerStunCameraShake;frequency;20;float;(20)
TowerStunCameraShake;priority;10;float;(10)
PowerUpCameraShake;duration;0.1;float;(0.1)
PowerUpCameraShake;amplitude;(0.2,0.2);vector2;((0.2,0.2))
PowerUpCameraShake;frequency;30;float;(30)
PowerUpCameraShake;priority;0;float;(0)
CameraArm;targetOffset;(0,15,10);vector3;((0,15,10))
CameraArm;additionalOffset;(0,5,3);vector3;((0,5,3))
CameraArm;angle;(30,0,0);vector3;((30,0,0))
CameraArm;positionDampTime;5;float;(5)
CameraArm;zoomDampTime;1;float;(1)
EmpTower;radius;15;float;(40)
EmpTower;stunDuration;3;float;(5)
EmpTower;EMPHitForce;50;float;(30)
EmptyDrop;weight;95;float;(95)
HealthDrop;weight;0;float;(5)
SpeedDrop;weight;5;float;(5)
AttackSpeedDrop;weight;7;float;(5)
ShieldDrop;weight;13;float;(5)
DecoyDrop;weight;13;float;(5)
TankEnemy;maxHealth;800;float;(1000)
TankEnemy;speed;11;float;(4)
