NodeName;VariableName;Value;Type;DefaultValue
1 Command;;;;
DefaultPattern;setDefault;False;bool;(False)
DefaultPattern;overrideWave;0;integer;(0)
DefaultPattern;increasePerWave;0;integer;(0)
DefaultPattern;defaultAmount;100;integer;(15)
DefaultPattern;timeBetweenSpawn;0.1;float;(0.4)
DefaultPattern;randomSpawnRange;1;float;(1)
Wave2;setDefault;False;bool;(False)
Wave2;overrideWave;2;integer;(2)
Wave2;increasePerWave;0;integer;(0)
Wave2;defaultAmount;30;integer;(20)
Wave2;timeBetweenSpawn;0.1;float;(0.4)
Wave2;randomSpawnRange;1;float;(1)
Wave3;setDefault;False;bool;(False)
Wave3;overrideWave;3;integer;(3)
Wave3;increasePerWave;0;integer;(0)
Wave3;defaultAmount;35;integer;(25)
Wave3;timeBetweenSpawn;0.1;float;(0.4)
Wave3;randomSpawnRange;1;float;(1)
Wave4;setDefault;False;bool;(False)
Wave4;overrideWave;4;integer;(4)
Wave4;increasePerWave;0;integer;(0)
Wave4;defaultAmount;40;integer;(30)
Wave4;timeBetweenSpawn;0.1;float;(0.4)
Wave4;randomSpawnRange;1;float;(1)
Wave5;setDefault;False;bool;(False)
Wave5;overrideWave;5;integer;(5)
Wave5;increasePerWave;0;integer;(0)
Wave5;defaultAmount;80;integer;(70)
Wave5;timeBetweenSpawn;0.1;float;(0.2)
Wave5;randomSpawnRange;1;float;(1)
Wave6;setDefault;True;bool;(True)
Wave6;overrideWave;6;integer;(6)
Wave6;increasePerWave;5;integer;(5)
Wave6;defaultAmount;6;integer;(5)
Wave6;timeBetweenSpawn;0.1;float;(0.4)
Wave6;randomSpawnRange;1;float;(1)
Wave8;setDefault;False;bool;(False)
Wave8;overrideWave;8;integer;(8)
Wave8;increasePerWave;0;integer;(0)
Wave8;defaultAmount;120;integer;(100)
Wave8;timeBetweenSpawn;0.01;float;(0.2)
Wave8;randomSpawnRange;1;float;(1)
Wave9;setDefault;True;bool;(True)
Wave9;overrideWave;9;integer;(9)
Wave9;increasePerWave;5;integer;(5)
Wave9;defaultAmount;10;integer;(0)
Wave9;timeBetweenSpawn;0.1;float;(0.4)
Wave9;randomSpawnRange;1;float;(1)
Wave11;setDefault;False;bool;(False)
Wave11;overrideWave;11;integer;(11)
Wave11;increasePerWave;0;integer;(0)
Wave11;defaultAmount;150;integer;(130)
Wave11;timeBetweenSpawn;0.05;float;(0.2)
Wave11;randomSpawnRange;1;float;(1)
Wave12;setDefault;True;bool;(True)
Wave12;overrideWave;12;integer;(12)
Wave12;increasePerWave;5;integer;(5)
Wave12;defaultAmount;0;integer;(-5)
Wave12;timeBetweenSpawn;0.1;float;(0.4)
Wave12;randomSpawnRange;1;float;(1)
Wave14;setDefault;False;bool;(False)
Wave14;overrideWave;14;integer;(14)
Wave14;increasePerWave;0;integer;(0)
Wave14;defaultAmount;260;integer;(160)
Wave14;timeBetweenSpawn;0.05;float;(0.2)
Wave14;randomSpawnRange;1;float;(1)
Wave15;setDefault;True;bool;(True)
Wave15;overrideWave;15;integer;(15)
Wave15;increasePerWave;5;integer;(5)
Wave15;defaultAmount;0;integer;(-10)
Wave15;timeBetweenSpawn;0.01;float;(0.4)
Wave15;randomSpawnRange;1;float;(1)
Wave18;setDefault;False;bool;(False)
Wave18;overrideWave;18;integer;(18)
Wave18;increasePerWave;0;integer;(0)
Wave18;defaultAmount;200;integer;(200)
Wave18;timeBetweenSpawn;0.1;float;(0.2)
Wave18;randomSpawnRange;1;float;(1)
Wave19;setDefault;True;bool;(True)
Wave19;overrideWave;19;integer;(19)
Wave19;increasePerWave;30;integer;(20)
Wave19;defaultAmount;-300;integer;(-300)
Wave19;timeBetweenSpawn;0.1;float;(0.4)
Wave19;randomSpawnRange;1;float;(1)
WaveSystem;disabled;False;bool;(False)
WaveSystem;waveStartDelay;1;float;(3)
DefaultShotCameraShake;duration;0.1;float;(0.1)
DefaultShotCameraShake;amplitude;(0.2,0.2);vector2;((0.2,0.2))
DefaultShotCameraShake;frequency;20;float;(30)
DefaultShotCameraShake;priority;1;float;(1)
OverlockShotCameraShake;duration;0.1;float;(0.1)
OverlockShotCameraShake;amplitude;(0.4,0.4);vector2;((0.6,0.6))
OverlockShotCameraShake;frequency;40;float;(50)
OverlockShotCameraShake;priority;2;float;(2)
StunCameraShake;duration;0.5;float;(0.5)
StunCameraShake;amplitude;(0.8,0);vector2;((1,0))
StunCameraShake;frequency;60;float;(80)
StunCameraShake;priority;10;float;(10)
SmallExplosionCameraShake;duration;0.3;float;(0.5)
SmallExplosionCameraShake;amplitude;(0.45,0.45);vector2;((0.4,0.4))
SmallExplosionCameraShake;frequency;35;float;(35)
SmallExplosionCameraShake;priority;2;float;(2)
BiglExplosionCameraShake;duration;6;float;(0.75)
BiglExplosionCameraShake;amplitude;(0.9,0.9);vector2;((0.6,0.6))
BiglExplosionCameraShake;frequency;35;float;(35)
BiglExplosionCameraShake;priority;3;float;(3)
TowerStunCameraShake;duration;1;float;(1)
TowerStunCameraShake;amplitude;(1,1);vector2;((1,1))
